Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
288,US,Clean Cities Coalition Network,"The mission of Clean Cities Coalition Network is to foster the economic,
environmental, and energy security of the United States by working
locally to advance affordable, domestic transportation fuels and
technologies. Nearly 100 volunteer coalitions carry out this mission by
developing public/private partnerships to promote alternative and
renewable fuels, idle-reduction measures, fuel economy, improvements,
and emerging transportation technologies. The Clean Cities Coalition
Network provides information about financial opportunities, coordinates
technical assistance projects, updates and maintains databases and
websites, and publishes technical and informational materials. For more
information, see the [Clean Cities Coalition
Network](https://cleancities.energy.gov/) website.
",,,false,21,Programs,U.S. Department of Energy,,,,,"",AFTMKTCONV|BIOD|ETH|ELEC|EFFEC|HEV|HY|IR|NG|NEVS|PHEV|LPG,GNT|OTHER,"",STATION|AFP|PURCH|MAN|FLEET|GOV|IND,""
386,US,High Occupancy Vehicle (HOV) Lane Exemption,"States are allowed to exempt certified alternative fuel vehicles (AFVs)
and electric vehicles (EVs) from HOV lane requirements within the state.
Eligible AFVs are defined as vehicles operating solely on methanol,
denatured ethanol, or other alcohols; a mixture containing at least 85%
methanol, denatured ethanol, or other alcohols; natural gas, propane,
hydrogen, or coal derived liquid fuels; or fuels derived from biological
materials. EVs are defined as vehicles that are recharged from an
external source of electricity and have a battery capacity of at least 4
kilowatt-hours. States are also allowed to establish programs allowing
low-emission and energy-efficient vehicles to pay a toll to access HOV
lanes.

Vehicles must be certified by the U.S. Environmental Protection Agency
(EPA) and appropriately labeled for use in HOV lanes. The U.S.
Department of Transportation (DOT) is responsible for planning and
implementing HOV programs, including the low-emission and
energy-efficient vehicle criteria EPA established. States that choose to
adopt these requirements will be responsible for enforcement and vehicle
labeling. The HOV exemption for AFVs and EVs expires September 30, 2025
and low-emission and energy-efficient vehicle toll-access to HOV lanes
expires September 30, 2019.

(Reference [Public
Law](https://www.congress.gov/public-laws/114th-congress) 114-94 and 23
[U.S. Code](https://www.govinfo.gov/) 166)
",2005-08-10 00:00:00 UTC,2015-12-04 00:00:00 UTC,false,59,Laws and Regulations,U.S. Department of Transportation,2015-12-14 22:09:37 UTC,,,,"",BIOD|ETH|ELEC|EFFEC|HY|NG|OTHER|PHEV|LPG,"",DREST,IND,http://www.gpo.gov/fdsys/|http://thomas.loc.gov/home/LegislativeData.php?&n=PublicLaws&c=112
388,US,Aftermarket Alternative Fuel Vehicle (AFV) Conversions,"Conventional original equipment manufacturer vehicles altered to operate
on propane, natural gas, methane gas, ethanol, or electricity are
classified as aftermarket AFV conversions. All vehicle conversions,
except those that are completed for a vehicle to run on electricity,
must meet current applicable U.S. Environmental Protection Agency (EPA)
standards. For more information about vehicle conversion certification
requirements, see the Alternative Fuels Data Center\'s [Vehicle
Conversions](https://afdc.energy.gov/vehicles/conversions.html) website
and EPA\'s [Certification and Compliance for Vehicles and
Engines](https://www.epa.gov/ve-certification) website. (Reference 40
[CFR](https://www.govinfo.gov/) 85 and [Enforcement Policy on Vehicle
and Engine Tampering and Aftermarket Defeat
Devices](https://www.epa.gov/sites/default/files/2020-12/documents/epatamperingpolicy-enforcementpolicyonvehicleandenginetampering.pdf))
",2011-04-08 00:00:00 UTC,2011-03-30 00:00:00 UTC,false,37,Laws and Regulations,U.S. Environmental Protection Agency,,,,,"",AFTMKTCONV|ETH|ELEC|HEV|NG|PHEV|LPG,"",AIRQEMISSIONS,MAN|FLEET|GOV|IND,http://www.gpo.gov/fdsys/
409,US,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,"The Inflation Reduction Act of 2022 (Public Law 117-169) amended the
Qualified Plug-in Electric Drive Motor Vehicle Credit (IRC 30D), now
known as the Clean Vehicle Credit, and added a new requirement for final
assembly in North America that took effect on August 17, 2022.
Additional requirements apply for vehicles placed in service (delivered)
on or after January 1, 2023, and the amount of the credit will depend on
whether the vehicle meets new critical minerals and battery components
requirements for vehicles placed in service after April 17, 2023. See
the [IRS Plug-In Electric Drive Vehicle
Credit](https://www.irs.gov/businesses/plug-in-electric-vehicle-credit-irc-30-and-irc-30d)
for more information. Taxpayers who purchase an eligible vehicle may
qualify for a tax credit of up to \$7,500. Additional details are
provided below based on when the vehicle is purchased or
placed-in-service.

::: {.alert .alert-info}
For up-to-date information on eligibility requirements for the Clean
Vehicle Credit or for additional detail, see the [information from the
IRS](https://www.irs.gov/credits-and-deductions-under-the-inflation-reduction-act-of-2022).
For a list of incentives by vehicle, see [Federal Tax Credits on
FuelEconomy.gov](https://www.fueleconomy.gov/feg/taxcenter.shtml).
:::

Vehicles Placed in Service on or After April 18, 2023
-----------------------------------------------------

For vehicles delivered on or after April 18, 2023, limitations apply
that went into effect January 1, 2023, related to the vehicle's
manufacturer's suggested retail price (MSRP), the buyer's modified
adjusted gross income, and the vehicle's battery capacity. A North
American final assembly requirement applies for vehicles purchased on or
after August 17, 2022. Additional critical mineral and battery component
requirements also apply as of April 18, 2023, which alter how the tax
credit is calculated and may alter the amount of the tax credit
available. These latter requirements came into effect upon the
publication of the Treasury Department's guidance document regarding the
critical mineral and battery component requirements. Vehicles that meet
the critical mineral requirements are eligible for a \$3,750 tax credit,
and vehicles that meet the battery component requirements are eligible
for a \$3,750 tax credit. Vehicles meeting both the critical mineral and
the battery component requirements are eligible for a total tax credit
of \$7,500.

Vans, sport utility vehicles, and pickup trucks must not have an MSRP
above \$80,000, and all other vehicles may not have an MSRP above
\$55,000. The MSRP can be found on the vehicle's window sticker, which
is also known as the ""Monroney label""; the MSRP for this purpose
includes any trim, options, or accessories for the particular vehicle
and excludes the destination fee and dealer-provided options and
accessories.

Additionally, a taxpayer's eligibility for the tax credit may be limited
by thresholds for modified adjusted gross income (modified AGI); only
individuals having a modified AGI below the following thresholds for the
current tax year or the prior tax year are eligible for the tax credit:

-   \$300,000 for joint filers
-   \$225,000 for head-of-household filers
-   \$150,000 for all other filers

To be eligible for the Clean Vehicle Credit, the battery powering the
vehicle must have a capacity of at least seven kilowatt-hours (kWh). The
amount of the credit depends on whether the vehicle meets certain
critical minerals and battery component requirements.

**Critical Minerals:** To be eligible for the \$3,750 critical minerals
portion of the tax credit, the percentage of the value of the battery's
critical minerals that are extracted or processed in the United States
or a U.S. free-trade agreement partner or recycled in North America,
must meet or exceed the following thresholds:

::: {style=""margin: 0 0 1em 1em;""}
  Year                 Critical minerals minimum percent value requirement
  -------------------- -----------------------------------------------------
  2023                 40%
  2024                 50%
  2025                 60%
  2026                 70%
  2027 and later       80%
:::

**Battery Components:** To be eligible for the \$3,750 battery
components portion of the tax credit, the percentage of the value of the
battery's components that are manufactured or assembled in North America
must meet or exceed the following thresholds:

::: {style=""margin: 0 0 1em 1em;""}
  Year                 Battery components minimum percent value requirement
  -------------------- ------------------------------------------------------
  2023                 50%
  2024 and 2025        60%
  2026                 70%
  2027                 80%
  2028                 90%
  2029 and later       100%
:::

Further guidance on additional 30D requirements is forthcoming. For more
information, including additional eligibility requirements, see the [IRS
Plug-In Electric Drive Vehicle
Credit](https://www.irs.gov/businesses/plug-in-electric-vehicle-credit-irc-30-and-irc-30d)
website.

Vehicles Sold on or After January 1 and Placed-in-Service Before April 18, 2023
-------------------------------------------------------------------------------

Beginning January 1, 2023, the Clean Vehicle Credit (CVC) provisions
removed the manufacturer sales caps for vehicles sold after January 1,
2023, expanded the scope of eligible vehicles to include both EVs and
FCEVs, and required that the battery powering the vehicle has a capacity
of at least seven kilowatt-hours (kWh). An available tax credit under
the CVC may be limited by the vehicle's manufacturer suggested retail
price (MSRP) and the buyer's modified adjusted gross income (as
addressed above). The North American final assembly requirement
continues to apply.

For vehicles placed in service before April 18, 2023, the available CVC
tax credit is a base amount of \$2,500 plus, for a vehicle that draws
propulsion energy from a battery with at least 7 kWh of capacity, \$417,
plus an additional \$417 for each kilowatt hour of battery capacity in
excess of 5 kWh. The total tax credit available for a vehicle may not
exceed \$7,500.

Vehicles Purchased Between August 17 and December 31, 2022
----------------------------------------------------------

Qualifying EVs purchased and delivered between August 17, 2022, and
December 31, 2022, are eligible for the tax incentive as described below
for vehicles purchased before August 17, 2022, but are limited to
[vehicles with final assembly in North
America](https://fueleconomy.gov/feg/taxcenter.shtml). Manufacturer
sales caps on vehicles apply. Note that for some manufacturers, the
assembly location may vary because some models are produced in multiple
locations. The assembly location of a particular vehicle should be
confirmed by referring to its Vehicle Identification Number (VIN) using
the U.S. Department of Transportation's [VIN
decoder](https://www.nhtsa.gov/vin-decoder) or an information label
affixed to the vehicle.

Vehicles Purchased Before August 17, 2022
-----------------------------------------

Qualifying EVs purchased before August 17, 2022, are eligible for a tax
credit that is available for the purchase of a new qualified EV that
draws propulsion from a battery that has at least five kilowatt-hours
(kWh) of capacity, uses an external source of energy to recharge the
battery, has a gross vehicle weight rating of up to 14,000 pounds, and
meets specified emission standards. The minimum credit amount is
\$2,500, and the credit may be up to \$7,500 based on each vehicle's
traction battery capacity. The credit will begin to be phased out for
each manufacturer in the second quarter following the calendar quarter
in which a minimum of 200,000 qualified PEVs have been sold by that
manufacturer for use in the United States. This tax credit is also
available for future EV owners with a written binding contract to
purchase a new qualifying electric vehicle before August 16, 2022, but
do not take possession of the vehicle until on or after August 16, 2022.
For more information, including qualifying vehicles and sales by
manufacturer, see the [Internal Revenue Service (IRS) Qualified Plug-in
Electric Drive Motor Vehicle
Credit](https://www.irs.gov/businesses/irc-30d-new-qualified-plug-in-electric-drive-motor-vehicle-credit)
website.

(Reference [U.S. Code 30D](http://www.gpo.gov/fdsys/) and [Public Law 117-169](https://www.congress.gov/public-laws/117th-congress))",2008-10-03 00:00:00 UTC,2022-08-16 00:00:00 UTC,false,18,Incentives,U.S. Internal Revenue Service,2022-09-07 14:25:19 UTC,2033-01-01 00:00:00 UTC,,,"",ELEC|HY|PHEV,TAX,"",FLEET|IND,https://www.congress.gov/112/plaws/publ240/PLAW-112publ240.pdf|http://www.gpo.gov/fdsys/|https://www.congress.gov/public-laws/117th-congress
4178,AZ,Zero Emission Vehicle Emissions Test Exemption,"Electric vehicles registered in Arizona are not required to complete
annual emissions testing. All alternative fuel vehicles, excluding
electric and hydrogen vehicles, used to commute into Phoenix or Tucson
are required to be emissions tested before they are registered. For more
information, visit the [Arizona Department of Environmental
Quality](http://www.myazcar.com/) website.

(Reference [Arizona Revised Statutes 49-541, 49-542 and 49-542.05](https://www.azleg.gov/ARStitle/))",2016-01-01 00:00:00 UTC,,false,42,State Incentives,"",2015-05-13 18:37:27 UTC,,,,"",ELEC|HY,EXEM,"",FLEET|GOV|IND,https://www.azleg.gov/ARStitle/
4179,AZ,Reduced Alternative Fuel Vehicle (AFV) License Tax,"The vehicle license tax for an AFV registered in Arizona is \$4 for
every \$100 in assessed value. The minimum amount of the annual AFV
license tax is \$5. AFV assessed values are determined as follows:

-   For AFVs initially registered between January 1, 2022, and December
    31, 2022, the assessed value of the AFV is 20% of the manufacturer's
    suggested retail price (MSRP);
-   For each succeeding year, for the purpose of calculating the license
    tax, the assessed value of the AFV is reduced by 15% from the value
    from the preceding year.

For the purpose of this tax, AFVs include those powered exclusively by
propane, natural gas, electricity, hydrogen, or a blend of hydrogen with
propane or natural gas. For more information, see the ADOT
[AFV](https://azdot.gov/motor-vehicles/vehicle-services/vehicle-registration/alternative-fuel-vehicle)
website. The reduced alternative fuel vehicle license tax does not apply
to any vehicle purchased on or after December 31, 2022.

(Reference [Arizona Revised Statutes 1-215, 28-5801, 28-5805](https://www.azleg.gov/arstitle/))",2018-04-25 00:00:00 UTC,2019-06-07 00:00:00 UTC,false,30,State Incentives,"",2019-06-28 23:33:14 UTC,,,,"",ELEC|HY|NG|PHEV|LPG,TAX,"",FLEET|GOV|IND,https://www.azleg.gov/arstitle/|https://www.azleg.gov/|https://www.azleg.gov/
4241,CA,Electric Vehicle (EV) Charging Rate Reduction - SMUD,"The Sacramento Municipal Utility District (SMUD) offers a discounted
rate to residential customers for electricity used to charge EVs. For
more information, see the SMUD [Rate
Details](https://www.smud.org/en/Rate-Information/Time-of-Day-rates/Time-of-Day-5-8pm-Rate/Rate-details#EVdiscount)
website.
",,,false,149,Utility/Private Incentives,"",2018-11-14 16:18:22 UTC,,,,"",ELEC|PHEV,OTHER,"",IND,""
4272,CO,Alternative Fuel Vehicle (AFV) Weight Exemption,"Gross vehicle weight rating limits for AFVs are 2,000 pounds greater
than those for comparable conventional vehicles, as long as the AFVs
operate using an alternative fuel or both alternative and conventional
fuel, when operating on a highway that is not part of the interstate
system. For the purpose of this exemption, alternative fuel is defined
as compressed natural gas, propane, ethanol, or any mixture containing
85% or more ethanol (E85) with gasoline or other fuels, electricity, or
any other fuels, which may include clean diesel and reformulated
gasoline, so long as the Colorado Air Quality Control Commission
determines that these other fuels result in comparable reductions in
carbon monoxide emissions and brown cloud pollutants.

(Reference [Colorado Revised Statutes 42-4-508 and 24-30-1104 (2)(c)(III)(A)](http://www.lexisnexis.com/hottopics/michie/))",2016-05-04 00:00:00 UTC,,false,35,State Incentives,"",2016-07-12 17:14:47 UTC,,,,"",AFTMKTCONV|ELEC|HY|NG|PHEV|LPG,EXEM,"",FLEET|GOV|IND,http://tornado.state.co.us/gov_dir/leg_dir/olls/digest_of_bills.htm|http://www.lexisnexis.com/hottopics/michie/
4780,VA,High Occupancy Vehicle (HOV) Lane Exemption,"Alternative fuel vehicles (AFVs) displaying the Virginia Clean Special
Fuel license plate may use Virginia HOV lanes on specified areas of
I-64, I-264, I-564, the Dulles Toll Road, and in the City of Alexandria,
regardless of the number of occupants. For HOV lanes serving the I-66
corridor, only registered vehicles displaying Clean Special Fuel license
plates issued before July 1, 2011, are exempt from HOV lane
requirements. Only dedicated AFVs are eligible; see the [Virginia
Department of Motor
Vehicles](http://www.dmv.state.va.us/webdoc/citizen/vehicles/cleanspecialfuel.asp)
website for a complete list of qualifying vehicles. The annual fee for
Clean Special Fuel license plates is \$25 in addition to the prescribed
fee for commonwealth license plates. This exemption expires September
30, 2025. For more information, see the Virginia Department of
Transportation [HOV](http://www.virginiadot.org/travel/hov-default.asp)
Lanes website.

(Reference [Virginia Code 33.2-501 and 46.2-749.3](http://lis.virginia.gov/000/src.htm))",,2012-04-18 00:00:00 UTC,false,25,State Incentives,"",2015-09-10 19:28:49 UTC,,,,"",ELEC|HEV|HY|NG|PHEV|LPG,EXEM,"",FLEET|GOV|IND,http://lis.virginia.gov/000/src.htm
4789,VA,Alternative Fuel Tax,"Alternative fuels used to operate on-road vehicles are taxed at a rate
of \$0.262 per gasoline gallon equivalent (GGE). Alternative fuels are
taxed at the same rate as gasoline and gasohol (5.1% of the statewide
average wholesale price of a gallon of self-serve unleaded regular
gasoline). Refer to the Virginia Department of Motor Vehicles [Fuels Tax
Rates and Alternative Fuels
Conversion](https://www.dmv.virginia.gov/commercial/#taxact/tax_rates.asp)
website for fuel-specific GGE calculations.

(Reference [Virginia Code 58.1-2217 and 58.1-2249](https://law.lis.virginia.gov/vacode/))",2013-04-03 00:00:00 UTC,2014-02-27 00:00:00 UTC,false,65,Laws and Regulations,"",,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",FUEL,STATION|PURCH|FLEET|IND,http://virginiageneralassembly.gov/|https://law.lis.virginia.gov/vacode/|http://virginiageneralassembly.gov/
