"answerCount","creationTime","id","originalTitle","qid","title","url"
"1808","2015-09-11T05:07:39.863Z","UXVlc3Rpb25AMDo1MjMwODQ3","{""sections"": [{""spans"": [{""text"": ""Would you share some of your own creative work with us?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","5230847","Would you share some of your own creative work with us?","https://www.quora.com/Would-you-share-some-of-your-own-creative-work-with-us"
"1828","2014-01-11T17:18:47.535Z","UXVlc3Rpb25AMDoxNTU0MjM4","{""sections"": [{""spans"": [{""text"": ""Who was the all time best President of the United States of America?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","1554238","Who was the all time best President of the United States of America?","https://www.quora.com/Who-was-the-all-time-best-President-of-the-United-States-of-America"
"1214","2014-06-13T19:10:55.117Z","UXVlc3Rpb25AMDoyMDQ1MDEw","{""sections"": [{""spans"": [{""text"": ""Why did God create us?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","2045010","Why did God create us?","https://www.quora.com/Why-did-God-create-us"
"739","2013-01-10T04:56:17.466Z","UXVlc3Rpb25AMDo5MjAwMzQ=","{""sections"": [{""spans"": [{""text"": ""What are some things films have led us to believe that are actually not true?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","920034","What are some things films have led us to believe that are actually not true?","https://www.quora.com/What-are-some-things-films-have-led-us-to-believe-that-are-actually-not-true"
"1614","2017-01-23T05:24:36.943Z","UXVlc3Rpb25AMDoxMjQ1MDY5Mg==","{""sections"": [{""spans"": [{""text"": ""How do I get over the fact that I'm ugly, short, and socially awkward?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","12450692","How do I get over the fact that I'm ugly, short, and socially awkward?","https://www.quora.com/How-do-I-get-over-the-fact-that-Im-ugly-short-and-socially-awkward"
"413","2012-07-22T15:11:01.780Z","UXVlc3Rpb25AMDo3MTc2Nzg=","{""sections"": [{""spans"": [{""text"": ""What's something that is common knowledge at your workplace, but would be mind-blowing to the rest of us?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","717678","What's something that is common knowledge at your workplace, but would be mind-blowing to the rest of us?","https://www.quora.com/Whats-something-that-is-common-knowledge-at-your-workplace-but-would-be-mind-blowing-to-the-rest-of-us"
"1057","2018-08-18T13:52:01.237Z","UXVlc3Rpb25AMDozMzA3NDc3NA==","{""sections"": [{""spans"": [{""text"": ""I'm a US citizen. What is it like to live in a country that doesn't have the same level of freedom as the United States does? Are you aware of the disparity between your country and the USA?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","33074774","I'm a US citizen. What is it like to live in a country that doesn't have the same level of freedom as the United States does? Are you aware of the disparity between your country and the USA?","https://www.quora.com/Im-a-US-citizen-What-is-it-like-to-live-in-a-country-that-doesnt-have-the-same-level-of-freedom-as-the-United-States-does-Are-you-aware-of-the-disparity-between-your-country-and-the-USA"
"244","2016-08-23T06:39:59.683Z","UXVlc3Rpb25AMDo5ODQ5MzUw","{""sections"": [{""spans"": [{""text"": ""Are there US soldiers based in Nigeria now?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","9849350","Are there US soldiers based in Nigeria now?","https://www.quora.com/Are-there-US-soldiers-based-in-Nigeria-now"
"714","2015-01-10T00:36:03.983Z","UXVlc3Rpb25AMDozMDYwMjE1","{""sections"": [{""spans"": [{""text"": ""What are the biggest lies that society tells us?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","3060215","What are the biggest lies that society tells us?","https://www.quora.com/What-are-the-biggest-lies-that-society-tells-us"
"1185","2014-08-07T13:31:41.179Z","UXVlc3Rpb25AMDoyMjY2MjI3","{""sections"": [{""spans"": [{""text"": ""Why did the United States lose the Vietnam War?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","2266227","Why did the United States lose the Vietnam War?","https://www.quora.com/Why-did-the-United-States-lose-the-Vietnam-War"
"54","2021-04-16T01:55:46.770Z","UXVlc3Rpb25AMDo5MDUwMjk1Mg==","{""sections"": [{""spans"": [{""text"": ""What is your opinion on electric vehicles?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","90502952","What is your opinion on electric vehicles?","https://www.quora.com/What-is-your-opinion-on-electric-vehicles"
